;Scopy version,f4beeb1
;Exported on,mardi octobre 08/10/2024
;Device,M2K
;Nr of samples,16000
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
669,-0.166,0.0173885
670,-0.165,0.0173885
671,-0.164,0.0173885
672,-0.163,0.0173885
673,-0.162,0.0173885
674,-0.161,0.0173885
675,-0.16,0.0173885
676,-0.159,0.0173885
677,-0.158,0.0173885
678,-0.157,0.0173885
679,-0.156,0.0173885
680,-0.155,0.0173885
681,-0.154,0.0173885
682,-0.153,0.0173885
683,-0.152,0.0173885
684,-0.151,0.0173885
685,-0.15,0.0173885
686,-0.149,0.0173885
687,-0.148,0.0173885
688,-0.147,0.0173885
689,-0.146,0.0173885
690,-0.145,0.0173885
691,-0.144,0.0173885
692,-0.143,0.0173885
693,-0.142,0.0173885
694,-0.141,0.0173885
695,-0.14,0.0173885
696,-0.139,0.0173885
697,-0.138,0.0173885
698,-0.137,0.0173885
699,-0.136,0.0173885
700,-0.135,0.0173885
701,-0.134,0.0173885
702,-0.133,0.0173885
703,-0.132,0.0173885
704,-0.131,0.0173885
705,-0.13,0.0173885
706,-0.129,0.0173885
707,-0.128,0.0173885
708,-0.127,0.0173885
709,-0.126,0.0173885
710,-0.125,0.0173885
711,-0.124,0.0173885
712,-0.123,0.0173885
713,-0.122,0.0173885
714,-0.121,0.0173885
715,-0.12,0.0173885
716,-0.119,0.0173885
717,-0.118,0.0173885
718,-0.117,0.0173885
719,-0.116,0.0173885
720,-0.115,0.0173885
721,-0.114,0.0173885
722,-0.113,0.0173885
723,-0.112,0.0173885
724,-0.111,0.0173885
725,-0.11,0.0173885
726,-0.109,0.0173885
727,-0.108,0.0173885
728,-0.107,0.0173885
729,-0.106,0.0173885
730,-0.105,0.0173885
731,-0.104,0.0173885
732,-0.103,0.0173885
733,-0.102,0.0173885
734,-0.101,0.0173885
735,-0.1,0.0173885
736,-0.099,0.0173885
737,-0.098,0.0173885
738,-0.097,0.0173885
739,-0.096,0.0173885
740,-0.095,0.0173885
741,-0.094,0.0173885
742,-0.093,0.0173885
743,-0.092,0.0173885
744,-0.091,0.0173885
745,-0.09,0.0173885
746,-0.089,0.0173885
747,-0.088,0.0173885
748,-0.087,0.0173885
